年龄,性别,全国,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
80-84岁,男,5917502,94819,62115,282274,127575,85147,248861,113923,152277,147101,428578,311543,296820,162540,163313,476302,363668,226131,331161,380639,208789,38077,170557,444732,131035,168222,5744,131397,70650,12400,16665,64447
80-84岁,女,7455696,104854,72189,374458,153493,81668,276438,118947,148500,204429,607129,368163,388671,216773,207453,682692,510030,290166,399139,522375,281837,52589,200959,517491,158349,215308,9237,141185,73788,13786,15212,48388
85-89岁,小计,5631928,77475,52792,254168,103773,59205,209064,91293,110128,172942,476649,300824,297290,162949,161919,488365,379099,222701,300139,421972,219115,41722,148017,399472,98052,142391,5827,113214,56407,8878,11577,44509
85-89岁,男,2199810,34359,23072,96610,42628,28776,96304,43770,52917,65346,170336,122710,109030,59577,62894,174092,131034,83013,119866,152671,81769,15235,61723,165577,39397,55051,2113,49727,25455,3756,5804,25198
85-89岁,女,3432118,43116,29720,157558,61145,30429,112760,47523,57211,107596,306313,178114,188260,103372,99025,314273,248065,139688,180273,269301,137346,26487,86294,233895,58655,87340,3714,63487,30952,5122,5773,19311
90-94岁,小计,1578307,20345,13569,61672,22982,12404,53725,23809,29156,52295,136102,78008,73716,48476,41959,142128,109292,53062,77844,142326,79773,14888,43367,118758,28165,37820,1517,28260,13354,1929,2968,14638
90-94岁,男,530872,8256,5712,20257,8579,5535,22983,10964,12971,17479,40532,27374,21494,14709,13840,43107,30531,17122,27252,43680,25432,4531,15998,42464,10090,13073,547,11074,5586,745,1413,7542
90-94岁,女,1047435,12089,7857,41415,14403,6869,30742,12845,16185,34816,95570,50634,52222,33767,28119,99021,78761,35940,50592,98646,54341,10357,27369,76294,18075,24747,970,17186,7768,1184,1555,7096
95-99岁,小计,369979,4064,3242,12231,4369,2766,11560,6235,8389,10109,26805,13298,16114,10704,9316,29384,26668,13783,18809,42091,23513,4528,9755,29414,7150,9239,543,6766,3444,439,791,4460
95-99岁,男,117716,1505,1344,3719,1563,1252,4548,2754,3664,3068,7406,4192,4246,2744,3102,8026,6738,4574,6467,12481,6881,1246,3324,9918,2471,3253,241,2687,1525,179,357,2241
95-99岁,女,252263,2559,1898,8512,2806,1514,7012,3481,4725,7041,19399,9106,11868,7960,6214,21358,19930,9209,12342,29610,16632,3282,6431,19496,4679,5986,302,4079,1919,260,434,2219
100岁以上,小计,35934,552,216,940,227,188,1182,579,488,928,2153,1191,1996,1058,599,2699,2941,826,1597,4300,2977,1162,826,3227,831,777,38,340,193,84,76,743
100岁以上,男,8852,146,80,179,51,71,426,248,194,195,454,308,335,221,162,633,674,197,388,866,608,255,198,916,241,209,17,111,58,32,20,359
100岁以上,女,27082,406,136,761,176,117,756,331,294,733,1699,883,1661,837,437,2066,2267,629,1209,3434,2369,907,628,2311,590,568,21,229,135,52,56,384
