Age,Date,Player,Position,Season,Team,Weight
29,14-Apr-85,Micheal Ray Richardson,PG,1984-1985,New Jersey Nets,189
23,7-Apr-85,Derek Smith,SG,1984-1985,Los Angeles Clippers,205
28,1-Apr-85,Calvin Natt,F,1984-1985,Denver Nuggets,220
37,24-Mar-85,Kareem Abdul-Jabbar,C,1984-1985,Los Angeles Lakers,225
28,17-Mar-85,Larry Bird,SF,1984-1985,Boston Celtics,220
26,10-Mar-85,Darrell Griffith,SG,1984-1985,Utah Jazz,190
24,3-Mar-85,Sleepy Floyd,PG,1984-1985,Golden State Warriors,170
25,24-Feb-85,Mark Aguirre,SF,1984-1985,Dallas Mavericks,232
25,17-Feb-85,Magic Johnson,PG,1984-1985,Los Angeles Lakers,255
25,3-Feb-85,Dominique Wilkins,SF,1984-1985,Atlanta Hawks,200
32,27-Jan-85,Tom McMillen,PF,1984-1985,Washington Bullets,215
22,20-Jan-85,Michael Jordan,SG,1984-1985,Chicago Bulls,215
31,13-Jan-85,World B. Free,G,1984-1985,Cleveland Cavaliers,185
23,6-Jan-85,Isiah Thomas,PG,1984-1985,Detroit Pistons,180
29,30-Dec-84,Micheal Ray Richardson,PG,1984-1985,New Jersey Nets,189
23,23-Dec-84,Terry Cummings,PF,1984-1985,Milwaukee Bucks,220
23,16-Dec-84,Derek Smith,SG,1984-1985,Los Angeles Clippers,205
25,9-Dec-84,Orlando Woolridge,PF,1984-1985,Chicago Bulls,215
29,2-Dec-84,Jack Sikma,C,1984-1985,Seattle SuperSonics,230
28,25-Nov-84,Bernard King,SF,1984-1985,New York Knicks,205
29,18-Nov-84,Moses Malone,C,1984-1985,Philadelphia Sixers,215
31,11-Nov-84,Alex English,SF,1984-1985,Denver Nuggets,190
26,4-Nov-84,Larry Nance,PF,1984-1985,Phoenix Suns,205
26,13-Apr-86,Dominique Wilkins,SF,1985-1986,Atlanta Hawks,200
28,6-Apr-86,Herb Williams,C,1985-1986,Indiana Pacers,242
23,30-Mar-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
30,23-Mar-86,Adrian Dantley,SF,1985-1986,Utah Jazz,208
29,16-Mar-86,Larry Bird,SF,1985-1986,Boston Celtics,220
26,9-Mar-86,Magic Johnson,PG,1985-1986,Los Angeles Lakers,255
23,2-Mar-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
28,23-Feb-86,Sidney Moncrief,SG,1985-1986,Milwaukee Bucks,180
29,16-Feb-86,Larry Bird,SF,1985-1986,Boston Celtics,220
32,2-Feb-86,Alex English,SF,1985-1986,Denver Nuggets,190
23,26-Jan-86,Charles Barkley,PF,1985-1986,Philadelphia Sixers,252
29,19-Jan-86,Larry Bird,SF,1985-1986,Boston Celtics,220
29,12-Jan-86,Calvin Natt,F,1985-1986,Denver Nuggets,220
23,5-Jan-86,Clyde Drexler,SG,1985-1986,Portland Trail Blazers,210
26,29-Dec-85,Dominique Wilkins,SF,1985-1986,Atlanta Hawks,200
27,22-Dec-85,Larry Nance,PF,1985-1986,Phoenix Suns,205
23,15-Dec-85,Alvin Robertson,SG,1985-1986,San Antonio Spurs,185
27,8-Dec-85,Jeff Ruland,C,1985-1986,Washington Bullets,240
29,1-Dec-85,Larry Bird,SF,1985-1986,Boston Celtics,220
32,24-Nov-85,Alex English,SF,1985-1986,Denver Nuggets,190
23,17-Nov-85,Patrick Ewing,C,1985-1986,New York Knicks,240
25,10-Nov-85,Buck Williams,PF,1985-1986,New Jersey Nets,215
24,3-Nov-85,Derek Smith,SG,1985-1986,Los Angeles Clippers,205
37,19-Apr-87,Julius Erving,SF,1986-1987,Philadelphia Sixers,200
24,12-Apr-87,Michael Jordan,SG,1986-1987,Chicago Bulls,215
27,5-Apr-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
29,29-Mar-87,Larry Smith,PF,1986-1987,Golden State Warriors,215
27,22-Mar-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
23,15-Mar-87,Karl Malone,PF,1986-1987,Utah Jazz,265
27,8-Mar-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
24,1-Mar-87,Michael Jordan,SG,1986-1987,Chicago Bulls,215
31,22-Feb-87,Moses Malone,C,1986-1987,Washington Bullets,215
27,15-Feb-87,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
26,1-Feb-87,Fat Lever,PG,1986-1987,Denver Nuggets,170
33,25-Jan-87,Alex English,SF,1986-1987,Denver Nuggets,190
24,18-Jan-87,Otis Thorpe,PF,1986-1987,Sacramento Kings,225
25,11-Jan-87,Isiah Thomas,PG,1986-1987,Detroit Pistons,180
30,4-Jan-87,Larry Bird,SF,1986-1987,Boston Celtics,220
24,28-Dec-86,Patrick Ewing,C,1986-1987,New York Knicks,240
27,21-Dec-86,Magic Johnson,PG,1986-1987,Los Angeles Lakers,255
27,14-Dec-86,Dominique Wilkins,SF,1986-1987,Atlanta Hawks,200
27,7-Dec-86,Tom Chambers,PF,1986-1987,Seattle SuperSonics,220
24,30-Nov-86,Hot Rod Williams,FC,1986-1987,Cleveland Cavaliers,215
24,23-Nov-86,Alvin Robertson,SG,1986-1987,San Antonio Spurs,185
33,16-Nov-86,Robert Parish,C,1986-1987,Boston Celtics,230
24,9-Nov-86,Michael Jordan,SG,1986-1987,Chicago Bulls,215
24,24-Apr-88,Karl Malone,PF,1987-1988,Utah Jazz,265
27,17-Apr-88,Fat Lever,PG,1987-1988,Denver Nuggets,170
24,10-Apr-88,Harold Pressley,GF,1987-1988,Sacramento Kings,210
25,3-Apr-88,Michael Jordan,SG,1987-1988,Chicago Bulls,215
25,27-Mar-88,Michael Jordan,SG,1987-1988,Chicago Bulls,215
25,20-Mar-88,Charles Barkley,PF,1987-1988,Philadelphia Sixers,252
25,13-Mar-88,Clyde Drexler,SG,1987-1988,Portland Trail Blazers,210
27,6-Mar-88,Bobby Hansen,SG,1987-1988,Utah Jazz,190
23,28-Feb-88,Roy Tarpley,PF,1987-1988,Dallas Mavericks,230
25,21-Feb-88,John Stockton,PG,1987-1988,Utah Jazz,170
28,14-Feb-88,Dominique Wilkins,SF,1987-1988,Atlanta Hawks,200
31,31-Jan-88,Bernard King,SF,1987-1988,Washington Bullets,205
25,24-Jan-88,Michael Jordan,SG,1987-1988,Chicago Bulls,215
28,17-Jan-88,Dominique Wilkins,SF,1987-1988,Atlanta Hawks,200
26,10-Jan-88,Byron Scott,SG,1987-1988,Los Angeles Lakers,195
24,3-Jan-88,Karl Malone,PF,1987-1988,Utah Jazz,265
28,27-Dec-87,Dominique Wilkins,SF,1987-1988,Atlanta Hawks,200
29,20-Dec-87,Larry Nance,PF,1987-1988,Phoenix Suns,205
28,13-Dec-87,Magic Johnson,PG,1987-1988,Los Angeles Lakers,255
25,6-Dec-87,Clyde Drexler,SG,1987-1988,Portland Trail Blazers,210
25,29-Nov-87,Clyde Drexler,SG,1987-1988,Portland Trail Blazers,210
24,22-Nov-87,Xavier McDaniel,PF,1987-1988,Seattle SuperSonics,205
31,15-Nov-87,Larry Bird,SF,1987-1988,Boston Celtics,220
25,23-Apr-89,Xavier McDaniel,PF,1988-1989,Seattle SuperSonics,205
25,16-Apr-89,Karl Malone,PF,1988-1989,Utah Jazz,265
26,9-Apr-89,Clyde Drexler,SG,1988-1989,Portland Trail Blazers,210
26,2-Apr-89,Michael Jordan,SG,1988-1989,Chicago Bulls,215
26,26-Mar-89,Michael Jordan,SG,1988-1989,Chicago Bulls,215
22,19-Mar-89,Kevin Johnson,PG,1988-1989,Phoenix Suns,180
27,12-Mar-89,Isiah Thomas,PG,1988-1989,Detroit Pistons,180
24,5-Mar-89,Chuck Person,SF,1988-1989,Indiana Pacers,220
26,26-Feb-89,Patrick Ewing,C,1988-1989,New York Knicks,240
26,19-Feb-89,Hakeem Olajuwon,C,1988-1989,Houston Rockets,255
25,5-Feb-89,Ron Harper,SG,1988-1989,Cleveland Cavaliers,185
29,29-Jan-89,Tom Chambers,PF,1988-1989,Phoenix Suns,220
25,22-Jan-89,Chris Mullin,SF,1988-1989,Golden State Warriors,215
26,15-Jan-89,Michael Jordan,SG,1988-1989,Chicago Bulls,215
28,8-Jan-89,Dale Ellis,GF,1988-1989,Seattle SuperSonics,205
29,1-Jan-89,Magic Johnson,PG,1988-1989,Los Angeles Lakers,255
26,25-Dec-88,Clyde Drexler,SG,1988-1989,Portland Trail Blazers,210
35,18-Dec-88,Robert Parish,C,1988-1989,Boston Celtics,230
26,11-Dec-88,Michael Adams,PG,1988-1989,Denver Nuggets,163
29,4-Dec-88,Magic Johnson,PG,1988-1989,Los Angeles Lakers,255
26,27-Nov-88,Patrick Ewing,C,1988-1989,New York Knicks,240
26,20-Nov-88,Michael Jordan,SG,1988-1989,Chicago Bulls,215
26,13-Nov-88,Hakeem Olajuwon,C,1988-1989,Houston Rockets,255
24,22-Apr-90,David Robinson,C,1989-1990,San Antonio Spurs,250
30,15-Apr-90,Magic Johnson,PG,1989-1990,Los Angeles Lakers,255
27,8-Apr-90,Charles Barkley,PF,1989-1990,Philadelphia Sixers,252
27,1-Apr-90,Michael Jordan,SG,1989-1990,Chicago Bulls,215
24,25-Mar-90,David Robinson,C,1989-1990,San Antonio Spurs,250
23,18-Mar-90,Kevin Johnson,PG,1989-1990,Phoenix Suns,180
24,11-Mar-90,Rony Seikaly,C,1989-1990,Miami Heat,230
27,4-Mar-90,Hakeem Olajuwon,C,1989-1990,Houston Rockets,255
24,25-Feb-90,David Robinson,C,1989-1990,San Antonio Spurs,250
30,18-Feb-90,Tom Chambers,PF,1989-1990,Phoenix Suns,220
23,4-Feb-90,Tim Hardaway,PG,1989-1990,Golden State Warriors,175
26,28-Jan-90,Karl Malone,PF,1989-1990,Utah Jazz,265
27,21-Jan-90,Alvin Robertson,SG,1989-1990,Milwaukee Bucks,185
26,14-Jan-90,Ron Harper,SG,1989-1990,Los Angeles Clippers,185
29,7-Jan-90,Terry Teagle,SG,1989-1990,Golden State Warriors,195
26,30-Dec-89,Karl Malone,PF,1989-1990,Utah Jazz,265
28,24-Dec-89,Terry Cummings,PF,1989-1990,San Antonio Spurs,220
26,17-Dec-89,Chris Mullin,SF,1989-1990,Golden State Warriors,215
27,10-Dec-89,Michael Jordan,SG,1989-1990,Chicago Bulls,215
27,3-Dec-89,Patrick Ewing,C,1989-1990,New York Knicks,240
27,26-Nov-89,Clyde Drexler,SG,1989-1990,Portland Trail Blazers,210
27,19-Nov-89,John Stockton,PG,1989-1990,Utah Jazz,170
28,12-Nov-89,Vern Fleming,G,1989-1990,Indiana Pacers,185
26,21-Apr-91,Scott Skiles,PG,1990-1991,Orlando Magic,180
28,14-Apr-91,Clyde Drexler,SG,1990-1991,Portland Trail Blazers,210
31,7-Apr-91,Magic Johnson,PG,1990-1991,Los Angeles Lakers,255
28,31-Mar-91,Clyde Drexler,SG,1990-1991,Portland Trail Blazers,210
25,24-Mar-91,Mitch Richmond,SG,1990-1991,Golden State Warriors,215
25,17-Mar-91,Kenny Smith,PG,1990-1991,Houston Rockets,170
22,10-Mar-91,Dennis Scott,SF,1990-1991,Orlando Magic,229
27,3-Mar-91,Gerald Wilkins,SG,1990-1991,New York Knicks,185
25,24-Feb-91,Reggie Miller,SG,1990-1991,Indiana Pacers,185
22,17-Feb-91,Lionel Simmons,SF,1990-1991,Sacramento Kings,210
28,3-Feb-91,Otis Thorpe,PF,1990-1991,Houston Rockets,225
28,27-Jan-91,Michael Adams,PG,1990-1991,Denver Nuggets,163
24,20-Jan-91,Tim Hardaway,PG,1990-1991,Golden State Warriors,175
34,13-Jan-91,Bernard King,SF,1990-1991,Washington Bullets,205
31,6-Jan-91,Dominique Wilkins,SF,1990-1991,Atlanta Hawks,200
31,30-Dec-90,Ricky Pierce,SG,1990-1991,Milwaukee Bucks,205
28,23-Dec-90,Michael Jordan,SG,1990-1991,Chicago Bulls,215
24,16-Dec-90,Kevin Johnson,PG,1990-1991,Phoenix Suns,180
28,9-Dec-90,John Stockton,PG,1990-1991,Utah Jazz,170
28,2-Dec-90,Michael Jordan,SG,1990-1991,Chicago Bulls,215
28,25-Nov-90,Charles Barkley,PF,1990-1991,Philadelphia Sixers,252
28,18-Nov-90,Clyde Drexler,SG,1990-1991,Portland Trail Blazers,210
27,11-Nov-90,Chris Mullin,SF,1990-1991,Golden State Warriors,215
28,19-Apr-92,Karl Malone,PF,1991-1992,Utah Jazz,265
26,12-Apr-92,Reggie Lewis,SF,1991-1992,Boston Celtics,195
24,5-Apr-92,Mookie Blaylock,PG,1991-1992,New Jersey Nets,190
26,29-Mar-92,Mark Jackson,PG,1991-1992,New York Knicks,180
22,22-Mar-92,Larry Johnson,F,1991-1992,Charlotte Hornets,250
28,15-Mar-92,Joe Dumars,SG,1991-1992,Detroit Pistons,190
28,8-Mar-92,Karl Malone,PF,1991-1992,Utah Jazz,265
25,1-Mar-92,Danny Manning,F,1991-1992,Los Angeles Clippers,230
25,23-Feb-92,Tim Hardaway,PG,1991-1992,Golden State Warriors,175
29,16-Feb-92,John Stockton,PG,1991-1992,Utah Jazz,170
33,2-Feb-92,Larry Nance,PF,1991-1992,Cleveland Cavaliers,205
24,26-Jan-92,Nick Anderson,GF,1991-1992,Orlando Magic,228
25,19-Jan-92,Tim Hardaway,PG,1991-1992,Golden State Warriors,175
29,12-Jan-92,Michael Jordan,SG,1991-1992,Chicago Bulls,215
29,5-Jan-92,Patrick Ewing,C,1991-1992,New York Knicks,240
26,29-Dec-91,Scottie Pippen,SF,1991-1992,Chicago Bulls,228
24,22-Dec-91,Pervis Ellison,C,1991-1992,Washington Bullets,210
30,15-Dec-91,Dennis Rodman,PF,1991-1992,Detroit Pistons,210
30,8-Dec-91,Jeff Malone,SG,1991-1992,Utah Jazz,205
26,1-Dec-91,David Robinson,C,1991-1992,San Antonio Spurs,250
29,24-Nov-91,Kevin Willis,C,1991-1992,Atlanta Hawks,245
26,17-Nov-91,Brad Daugherty,C,1991-1992,Cleveland Cavaliers,245
28,10-Nov-91,Chris Mullin,SF,1991-1992,Golden State Warriors,215
23,25-Apr-93,Larry Johnson,F,1992-1993,Charlotte Hornets,250
23,18-Apr-93,Alonzo Mourning,C,1992-1993,Charlotte Hornets,240
30,11-Apr-93,Hakeem Olajuwon,C,1992-1993,Houston Rockets,255
30,4-Apr-93,Charles Barkley,PF,1992-1993,Phoenix Suns,252
26,28-Mar-93,Dikembe Mutombo,C,1992-1993,Denver Nuggets,260
30,21-Mar-93,Patrick Ewing,C,1992-1993,New York Knicks,240
26,14-Mar-93,Rumeal Robinson,PG,1992-1993,New Jersey Nets,195
27,7-Mar-93,Rony Seikaly,C,1992-1993,Miami Heat,230
30,28-Feb-93,Hakeem Olajuwon,C,1992-1993,Houston Rockets,255
23,14-Feb-93,Larry Johnson,F,1992-1993,Charlotte Hornets,250
25,7-Feb-93,Nick Anderson,GF,1992-1993,Orlando Magic,228
29,31-Jan-93,Karl Malone,PF,1992-1993,Utah Jazz,265
30,24-Jan-93,Patrick Ewing,C,1992-1993,New York Knicks,240
30,17-Jan-93,Hakeem Olajuwon,C,1992-1993,Houston Rockets,255
23,10-Jan-93,Shawn Kemp,C,1992-1993,Seattle SuperSonics,280
27,3-Jan-93,David Robinson,C,1992-1993,San Antonio Spurs,250
25,27-Dec-92,Sean Elliott,SF,1992-1993,San Antonio Spurs,205
30,20-Dec-92,Patrick Ewing,C,1992-1993,New York Knicks,240
30,13-Dec-92,Charles Barkley,PF,1992-1993,Phoenix Suns,252
28,6-Dec-92,Drazen Petrovic,SG,1992-1993,New Jersey Nets,200
27,29-Nov-92,David Robinson,C,1992-1993,San Antonio Spurs,250
30,22-Nov-92,Michael Jordan,SG,1992-1993,Chicago Bulls,215
20,15-Nov-92,Shaquille O'Neal,C,1992-1993,Orlando Magic,325
28,24-Apr-94,David Robinson,C,1993-1994,San Antonio Spurs,250
28,17-Apr-94,Scottie Pippen,SF,1993-1994,Chicago Bulls,228
27,10-Apr-94,Dikembe Mutombo,C,1993-1994,Denver Nuggets,260
24,3-Apr-94,Shawn Kemp,C,1993-1994,Seattle SuperSonics,280
31,27-Mar-94,Kevin Willis,C,1993-1994,Atlanta Hawks,245
31,20-Mar-94,Hakeem Olajuwon,C,1993-1994,Houston Rockets,255
30,13-Mar-94,Joe Dumars,SG,1993-1994,Detroit Pistons,190
28,6-Mar-94,David Robinson,C,1993-1994,San Antonio Spurs,250
24,27-Feb-94,Shawn Kemp,C,1993-1994,Seattle SuperSonics,280
28,20-Feb-94,David Robinson,C,1993-1994,San Antonio Spurs,250
28,6-Feb-94,David Robinson,C,1993-1994,San Antonio Spurs,250
30,30-Jan-94,Ron Harper,SG,1993-1994,Los Angeles Clippers,185
23,23-Jan-94,Kenny Anderson,PG,1993-1994,New Jersey Nets,168
31,16-Jan-94,Patrick Ewing,C,1993-1994,New York Knicks,240
20,9-Jan-94,Chris Webber,F-C,1993-1994,Golden State Warriors,245
23,2-Jan-94,Oliver Miller,C,1993-1994,Phoenix Suns,280
28,26-Dec-93,Scottie Pippen,SF,1993-1994,Chicago Bulls,228
30,19-Dec-93,Karl Malone,PF,1993-1994,Utah Jazz,265
21,12-Dec-93,Shaquille O'Neal,C,1993-1994,Orlando Magic,325
28,5-Dec-93,David Robinson,C,1993-1994,San Antonio Spurs,250
26,28-Nov-93,Glen Rice,SF,1993-1994,Miami Heat,228
31,21-Nov-93,Charles Barkley,PF,1993-1994,Phoenix Suns,252
31,14-Nov-93,Hakeem Olajuwon,C,1993-1994,Houston Rockets,255
31,23-Apr-95,Karl Malone,PF,1994-1995,Utah Jazz,265
28,16-Apr-95,Dikembe Mutombo,C,1994-1995,Denver Nuggets,260
32,9-Apr-95,Clyde Drexler,SG,1994-1995,Houston Rockets,210
29,2-Apr-95,David Robinson,C,1994-1995,San Antonio Spurs,250
27,26-Mar-95,Vlade Divac,C,1994-1995,Los Angeles Lakers,260
21,19-Mar-95,Jason Kidd,PG,1994-1995,Dallas Mavericks,210
28,12-Mar-95,Rik Smits,C,1994-1995,Indiana Pacers,250
22,5-Mar-95,Shaquille O'Neal,C,1994-1995,Orlando Magic,325
28,26-Feb-95,Rod Strickland,PG,1994-1995,Portland Trail Blazers,175
32,19-Feb-95,Charles Barkley,PF,1994-1995,Phoenix Suns,252
32,5-Feb-95,Hakeem Olajuwon,C,1994-1995,Houston Rockets,255
32,29-Jan-95,John Stockton,PG,1994-1995,Utah Jazz,170
32,22-Jan-95,Patrick Ewing,C,1994-1995,New York Knicks,240
25,15-Jan-95,Larry Johnson,F,1994-1995,Charlotte Hornets,250
26,8-Jan-95,Gary Payton,G,1994-1995,Seattle SuperSonics,180
32,1-Jan-95,Hakeem Olajuwon,C,1994-1995,Houston Rockets,255
25,25-Dec-94,Cedric Ceballos,SF,1994-1995,Los Angeles Lakers,190
31,18-Dec-94,Karl Malone,PF,1994-1995,Utah Jazz,265
22,11-Dec-94,Jamal Mashburn,SF,1994-1995,Dallas Mavericks,247
22,4-Dec-94,Shaquille O'Neal,C,1994-1995,Orlando Magic,325
23,27-Nov-94,Penny Hardaway,PG,1994-1995,Orlando Magic,195
25,20-Nov-94,Elliot Perry,PG,1994-1995,Phoenix Suns,150
28,13-Nov-94,Tim Hardaway,PG,1994-1995,Golden State Warriors,175
27,21-Apr-96,Dennis Scott,SF,1995-1996,Orlando Magic,229
23,14-Apr-96,Juwan Howard,PF,1995-1996,Washington Bullets,240
29,7-Apr-96,Kevin Johnson,PG,1995-1996,Phoenix Suns,180
31,31-Mar-96,Arvydas Sabonis,C,1995-1996,Portland Trail Blazers,279
28,24-Mar-96,Chris Gatling,PF,1995-1996,Miami Heat,220
23,17-Mar-96,Grant Hill,SF,1995-1996,Detroit Pistons,225
33,10-Mar-96,Michael Jordan,SG,1995-1996,Chicago Bulls,215
23,3-Mar-96,Shaquille O'Neal,C,1995-1996,Orlando Magic,325
33,3-Mar-96,Hakeem Olajuwon,C,1995-1996,Houston Rockets,255
26,25-Feb-96,Shawn Kemp,C,1995-1996,Seattle SuperSonics,280
31,18-Feb-96,Armen Gilliam,PF,1995-1996,New Jersey Nets,230
22,4-Feb-96,Jason Kidd,PG,1995-1996,Dallas Mavericks,210
30,28-Jan-96,Reggie Miller,SG,1995-1996,Indiana Pacers,185
33,21-Jan-96,Michael Jordan,SG,1995-1996,Chicago Bulls,215
30,14-Jan-96,David Robinson,C,1995-1996,San Antonio Spurs,250
29,7-Jan-96,Cliff Robinson,PF,1995-1996,Portland Trail Blazers,225
32,31-Dec-95,Karl Malone,PF,1995-1996,Utah Jazz,265
33,24-Dec-95,Michael Jordan,SG,1995-1996,Chicago Bulls,215
30,17-Dec-95,Scottie Pippen,SF,1995-1996,Chicago Bulls,228
29,10-Dec-95,Dikembe Mutombo,C,1995-1996,Denver Nuggets,260
25,3-Dec-95,Terrell Brandon,PG,1995-1996,Cleveland Cavaliers,180
26,26-Nov-95,Shawn Kemp,C,1995-1996,Seattle SuperSonics,280
26,19-Nov-95,Cedric Ceballos,SF,1995-1996,Los Angeles Lakers,190
24,12-Nov-95,Penny Hardaway,PG,1995-1996,Orlando Magic,195
24,20-Apr-97,Chris Webber,F-C,1996-1997,Washington Bullets,245
21,13-Apr-97,Allen Iverson,G,1996-1997,Philadelphia Sixers,165
24,6-Apr-97,Grant Hill,SF,1996-1997,Detroit Pistons,225
30,30-Mar-97,Kevin Johnson,PG,1996-1997,Phoenix Suns,180
33,23-Mar-97,Karl Malone,PF,1996-1997,Utah Jazz,265
33,16-Mar-97,Karl Malone,PF,1996-1997,Utah Jazz,265
34,9-Mar-97,Patrick Ewing,C,1996-1997,New York Knicks,240
30,2-Mar-97,Loy Vaught,PF,1996-1997,Los Angeles Clippers,230
31,23-Feb-97,Scottie Pippen,SF,1996-1997,Chicago Bulls,228
27,16-Feb-97,Alonzo Mourning,C,1996-1997,Miami Heat,240
29,2-Feb-97,Glen Rice,SF,1996-1997,Charlotte Hornets,228
31,26-Jan-97,Mitch Richmond,SG,1996-1997,Sacramento Kings,215
24,19-Jan-97,Grant Hill,SF,1996-1997,Detroit Pistons,225
24,12-Jan-97,Glenn Robinson,SF,1996-1997,Milwaukee Bucks,225
29,5-Jan-97,Glen Rice,SF,1996-1997,Charlotte Hornets,228
30,29-Dec-96,Tim Hardaway,PG,1996-1997,Miami Heat,175
26,22-Dec-96,Terrell Brandon,PG,1996-1997,Cleveland Cavaliers,180
24,15-Dec-96,Shaquille O'Neal,C,1996-1997,Los Angeles Lakers,325
29,8-Dec-96,Terry Mills,PF,1996-1997,Detroit Pistons,230
30,1-Dec-96,Dikembe Mutombo,C,1996-1997,Atlanta Hawks,260
34,24-Nov-96,Charles Barkley,PF,1996-1997,Houston Rockets,252
33,24-Nov-96,Karl Malone,PF,1996-1997,Utah Jazz,265
36,17-Nov-96,Dale Ellis,GF,1996-1997,Denver Nuggets,205
34,10-Nov-96,Hakeem Olajuwon,C,1996-1997,Houston Rockets,255
24,19-Apr-98,Jason Kidd,PG,1997-1998,Phoenix Suns,210
28,12-Apr-98,Sam Cassell,G,1997-1998,New Jersey Nets,185
35,5-Apr-98,Michael Jordan,SG,1997-1998,Chicago Bulls,215
28,29-Mar-98,Alonzo Mourning,C,1997-1998,Miami Heat,240
25,22-Mar-98,Shaquille O'Neal,C,1997-1998,Los Angeles Lakers,325
24,15-Mar-98,Jason Kidd,PG,1997-1998,Phoenix Suns,210
34,8-Mar-98,Karl Malone,PF,1997-1998,Utah Jazz,265
21,1-Mar-98,Tim Duncan,FC,1997-1998,San Antonio Spurs,250
30,22-Feb-98,Nick Anderson,GF,1997-1998,Orlando Magic,228
34,15-Feb-98,Karl Malone,PF,1997-1998,Utah Jazz,265
32,1-Feb-98,David Robinson,C,1997-1998,San Antonio Spurs,250
30,25-Jan-98,Jayson Williams,FC,1997-1998,New Jersey Nets,245
22,18-Jan-98,Allen Iverson,G,1997-1998,Philadelphia Sixers,165
28,11-Jan-98,Steve Smith,SG,1997-1998,Atlanta Hawks,200
31,4-Jan-98,Rik Smits,C,1997-1998,Indiana Pacers,250
32,28-Dec-97,David Robinson,C,1997-1998,San Antonio Spurs,250
35,21-Dec-97,Michael Jordan,SG,1997-1998,Chicago Bulls,215
30,14-Dec-97,Glen Rice,SF,1997-1998,Charlotte Hornets,228
26,7-Dec-97,Wesley Person,SG,1997-1998,Cleveland Cavaliers,195
34,30-Nov-97,Karl Malone,PF,1997-1998,Utah Jazz,265
35,23-Nov-97,Michael Jordan,SG,1997-1998,Chicago Bulls,215
25,16-Nov-97,Shaquille O'Neal,C,1997-1998,Los Angeles Lakers,325
31,9-Nov-97,Dikembe Mutombo,C,1997-1998,Atlanta Hawks,260
26,2-May-99,Grant Hill,SF,1998-1999,Detroit Pistons,225
25,25-Apr-99,Chris Webber,F-C,1998-1999,Sacramento Kings,245
25,18-Apr-99,Jason Kidd,PG,1998-1999,Phoenix Suns,210
35,11-Apr-99,Karl Malone,PF,1998-1999,Utah Jazz,265
22,4-Apr-99,Kevin Garnett,PF,1998-1999,Minnesota Timberwolves,240
30,28-Mar-99,Darrell Armstrong,PG,1998-1999,Orlando Magic,170
22,21-Mar-99,Vince Carter,SF,1998-1999,Toronto Raptors,220
29,14-Mar-99,Alonzo Mourning,C,1998-1999,Miami Heat,240
22,7-Mar-99,Tim Duncan,FC,1998-1999,San Antonio Spurs,250
24,28-Feb-99,Antonio McDyess,F,1998-1999,Denver Nuggets,245
22,21-Feb-99,Stephon Marbury,G,1998-1999,Minnesota Timberwolves,180
30,14-Feb-99,Gary Payton,G,1998-1999,Seattle SuperSonics,180
32,7-Feb-99,Dikembe Mutombo,C,1998-1999,Atlanta Hawks,260
21,17-Apr-00,Kobe Bryant,SG,1999-2000,Los Angeles Lakers,212
30,10-Apr-00,Alonzo Mourning,C,1999-2000,Miami Heat,240
23,3-Apr-00,Tim Duncan,FC,1999-2000,San Antonio Spurs,250
23,27-Mar-00,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
27,20-Mar-00,Jalen Rose,G,1999-2000,Indiana Pacers,210
27,13-Mar-00,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
36,6-Mar-00,Karl Malone,PF,1999-2000,Utah Jazz,265
23,28-Feb-00,Vince Carter,SF,1999-2000,Toronto Raptors,220
27,22-Feb-00,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
26,7-Feb-00,Michael Finley,G-F,1999-2000,Dallas Mavericks,225
33,31-Jan-00,Dikembe Mutombo,C,1999-2000,Atlanta Hawks,260
23,24-Jan-00,Steve Francis,G,1999-2000,Houston Rockets,195
27,17-Jan-00,Chris Webber,F-C,1999-2000,Sacramento Kings,245
27,10-Jan-00,Grant Hill,SF,1999-2000,Detroit Pistons,225
27,3-Jan-00,Chris Webber,F-C,1999-2000,Sacramento Kings,245
23,27-Dec-99,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
26,20-Dec-99,Jason Kidd,PG,1999-2000,Phoenix Suns,210
30,13-Dec-99,Alonzo Mourning,C,1999-2000,Miami Heat,240
27,5-Dec-99,Shaquille O'Neal,C,1999-2000,Los Angeles Lakers,325
23,28-Nov-99,Tim Duncan,FC,1999-2000,San Antonio Spurs,250
23,21-Nov-99,Vince Carter,SF,1999-2000,Toronto Raptors,220
23,14-Nov-99,Kevin Garnett,PF,1999-2000,Minnesota Timberwolves,240
30,7-Nov-99,Sam Cassell,G,1999-2000,Milwaukee Bucks,185
25,15-Apr-01,Ray Allen,SG,2000-2001,Milwaukee Bucks,205
28,8-Apr-01,Shaquille O'Neal,C,2000-2001,Los Angeles Lakers,325
27,1-Apr-01,Jason Kidd,PG,2000-2001,Phoenix Suns,210
23,25-Mar-01,Paul Pierce,SF,2000-2001,Boston Celtics,235
